CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/20/2022 12:10:19

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5
';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;-7,823409E-01;0,000000E+00
1,000000000000E+00;6,829916E-01;5,408087E-02
2,000000000000E+00;3,160349E+00;-5,948114E-01
3,000000000000E+00;6,531744E+00;-1,468617E+00
4,000000000000E+00;1,027197E+01;-2,807331E+00
5,000000000000E+00;1,426078E+01;-3,558807E+00
6,000000000000E+00;1,725347E+01;-3,919209E+00
7,000000000000E+00;2,058819E+01;-5,821139E+00
8,000000000000E+00;2,304484E+01;-6,764521E+00
9,000000000000E+00;2,549931E+01;-5,873117E+00
1,000000000000E+01;2,740918E+01;-5,451540E+00
1,100000000000E+01;2,999159E+01;-4,570323E+00
1,200000000000E+01;3,308091E+01;-4,169301E+00
1,300000000000E+01;3,509354E+01;-4,524602E+00
1,400000000000E+01;3,682309E+01;-4,898238E+00
1,500000000000E+01;3,837066E+01;-5,050776E+00
1,600000000000E+01;3,976569E+01;-4,760668E+00
1,700000000000E+01;4,126712E+01;-5,681707E+00
1,800000000000E+01;4,082760E+01;-7,559558E+00
1,900000000000E+01;3,947061E+01;-6,281897E+00
2,000000000000E+01;4,010688E+01;-4,187411E+00
2,100000000000E+01;4,123447E+01;-3,680021E+00
2,200000000000E+01;4,221254E+01;-3,711767E+00
2,300000000000E+01;4,269716E+01;-3,678269E+00
2,400000000000E+01;4,292014E+01;-3,184688E+00
2,500000000000E+01;4,357372E+01;-2,500589E+00
2,600000000000E+01;4,470488E+01;-2,132193E+00
2,700000000000E+01;4,565306E+01;-2,781070E+00
2,800000000000E+01;4,536666E+01;-2,960639E+00
2,900000000000E+01;4,563527E+01;-2,651962E+00
3,000000000000E+01;4,610302E+01;-2,634289E+00
3,100000000000E+01;4,642581E+01;-2,655921E+00
3,200000000000E+01;4,661905E+01;-2,714988E+00
3,300000000000E+01;4,670252E+01;-2,673935E+00
3,400000000000E+01;4,673920E+01;-2,429265E+00
3,500000000000E+01;4,705932E+01;-2,213250E+00
3,600000000000E+01;4,728558E+01;-1,995418E+00
3,700000000000E+01;4,749369E+01;-1,924580E+00
3,800000000000E+01;4,788889E+01;-1,835659E+00
3,900000000000E+01;4,831337E+01;-1,910465E+00
4,000000000000E+01;4,871542E+01;-2,073684E+00
4,100000000000E+01;4,905450E+01;-2,537673E+00
4,200000000000E+01;4,916464E+01;-3,019689E+00
4,300000000000E+01;4,889608E+01;-3,703698E+00
4,400000000000E+01;4,818614E+01;-3,959835E+00
4,500000000000E+01;4,745348E+01;-3,970342E+00
4,600000000000E+01;4,694325E+01;-3,620723E+00
4,700000000000E+01;4,684266E+01;-2,895929E+00
4,800000000000E+01;4,694309E+01;-2,421000E+00
4,900000000000E+01;4,703788E+01;-2,098089E+00
5,000000000000E+01;4,730481E+01;-1,911356E+00
5,100000000000E+01;4,758496E+01;-1,748144E+00
5,200000000000E+01;4,775850E+01;-1,549860E+00
5,300000000000E+01;4,793225E+01;-1,493786E+00
5,400000000000E+01;4,819802E+01;-1,528356E+00
5,500000000000E+01;4,836537E+01;-1,590903E+00
5,600000000000E+01;4,854937E+01;-1,692874E+00
5,700000000000E+01;4,874306E+01;-1,847126E+00
5,800000000000E+01;4,885605E+01;-2,155157E+00
5,900000000000E+01;4,886737E+01;-2,565769E+00
6,000000000000E+01;4,867912E+01;-2,952008E+00
6,100000000000E+01;4,827348E+01;-3,272861E+00
6,200000000000E+01;4,785318E+01;-3,390868E+00
6,300000000000E+01;4,737898E+01;-3,421730E+00
6,400000000000E+01;4,682013E+01;-3,255406E+00
6,500000000000E+01;4,634354E+01;-2,724633E+00
6,600000000000E+01;4,625287E+01;-2,240113E+00
6,700000000000E+01;4,629549E+01;-1,872746E+00
6,800000000000E+01;4,644857E+01;-1,531755E+00
6,900000000000E+01;4,661398E+01;-1,161457E+00
7,000000000000E+01;4,696804E+01;-8,611978E-01
7,100000000000E+01;4,739291E+01;-8,650662E-01
7,200000000000E+01;4,768499E+01;-1,044267E+00
7,300000000000E+01;4,793909E+01;-1,192410E+00
7,400000000000E+01;4,810882E+01;-1,378542E+00
7,500000000000E+01;4,835027E+01;-1,726122E+00
7,600000000000E+01;4,859640E+01;-2,357399E+00
7,700000000000E+01;4,852991E+01;-3,041062E+00
7,800000000000E+01;4,793025E+01;-3,768644E+00
7,900000000000E+01;4,702958E+01;-4,126429E+00
8,000000000000E+01;4,605967E+01;-3,976963E+00
8,100000000000E+01;4,547234E+01;-3,542980E+00
8,200000000000E+01;4,511790E+01;-2,900160E+00
8,300000000000E+01;4,499899E+01;-2,615097E+00
8,400000000000E+01;4,484471E+01;-2,400073E+00
8,500000000000E+01;4,480307E+01;-2,262960E+00
8,600000000000E+01;4,470382E+01;-2,083167E+00
8,700000000000E+01;4,451614E+01;-1,808986E+00
8,800000000000E+01;4,444566E+01;-1,615230E+00
8,900000000000E+01;4,441886E+01;-1,413218E+00
9,000000000000E+01;4,443428E+01;-1,242555E+00
9,100000000000E+01;4,443508E+01;-1,088739E+00
9,200000000000E+01;4,445844E+01;-1,003682E+00
9,300000000000E+01;4,440064E+01;-9,295820E-01
9,400000000000E+01;4,435732E+01;-8,599043E-01
9,500000000000E+01;4,438792E+01;-8,007561E-01
9,600000000000E+01;4,435591E+01;-7,934878E-01
9,700000000000E+01;4,427074E+01;-7,687110E-01
9,800000000000E+01;4,422608E+01;-7,290565E-01
9,900000000000E+01;4,415765E+01;-7,857694E-01
1,000000000000E+02;4,390812E+01;-9,368388E-01
