CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/29/2022 13:23:44

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;-2,399371E-01;0,000000E+00
1,000000000000E+00;2,217940E-01;-9,063538E-01
2,000000000000E+00;3,937438E+00;-6,968220E-01
3,000000000000E+00;1,317118E+01;-1,322523E+00
4,000000000000E+00;3,368947E+01;1,677205E-01
5,000000000000E+00;3,955063E+01;2,939975E+00
6,000000000000E+00;3,902551E+01;1,152220E+01
7,000000000000E+00;5,389048E+01;1,062003E+01
8,000000000000E+00;5,947453E+01;2,021875E+00
9,000000000000E+00;5,726601E+01;-2,098283E-01
1,000000000000E+01;5,518213E+01;-1,839258E+00
1,100000000000E+01;5,399691E+01;-3,097104E+00
1,200000000000E+01;5,116642E+01;-2,621964E+00
1,300000000000E+01;4,981828E+01;-7,162865E-01
1,400000000000E+01;4,926752E+01;7,495258E-01
1,500000000000E+01;4,986760E+01;2,754521E+00
1,600000000000E+01;5,261184E+01;2,110941E+00
1,700000000000E+01;5,291296E+01;2,001054E-01
1,800000000000E+01;5,226845E+01;-8,048311E-03
1,900000000000E+01;5,180201E+01;3,760213E-01
2,000000000000E+01;5,213510E+01;6,318240E-01
2,100000000000E+01;5,227931E+01;8,155552E-02
2,200000000000E+01;5,218398E+01;-1,292545E-01
2,300000000000E+01;5,192821E+01;-4,866153E-01
2,400000000000E+01;5,173763E+01;-5,226775E-01
2,500000000000E+01;5,156651E+01;-4,542057E-01
2,600000000000E+01;5,109440E+01;-3,315277E-01
2,700000000000E+01;5,127035E+01;2,694616E-01
2,800000000000E+01;5,223199E+01;-1,249554E-01
2,900000000000E+01;5,194994E+01;-7,181054E-01
3,000000000000E+01;5,160086E+01;-8,394447E-01
3,100000000000E+01;5,142276E+01;-9,009293E-01
3,200000000000E+01;5,122234E+01;-9,464083E-01
3,300000000000E+01;5,103856E+01;-9,364579E-01
3,400000000000E+01;5,097940E+01;-7,782199E-01
3,500000000000E+01;5,091219E+01;-6,444991E-01
3,600000000000E+01;5,087253E+01;-5,875693E-01
3,700000000000E+01;5,080585E+01;-5,674464E-01
3,800000000000E+01;5,073222E+01;-4,435374E-01
3,900000000000E+01;5,076819E+01;-3,715616E-01
4,000000000000E+01;5,089407E+01;-3,915332E-01
