CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/29/2022 13:23:44

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;-3,359384E-01;0,000000E+00
1,000000000000E+00;2,267377E-01;-2,028670E-01
2,000000000000E+00;2,048321E+00;-1,021207E+00
3,000000000000E+00;1,707229E+01;-5,577127E-02
4,000000000000E+00;3,190547E+01;-2,327500E+00
5,000000000000E+00;3,880203E+01;-1,230892E+00
6,000000000000E+00;4,517548E+01;1,415823E+00
7,000000000000E+00;4,929119E+01;3,997358E-01
8,000000000000E+00;5,038515E+01;-3,965322E-02
9,000000000000E+00;4,986958E+01;-3,660609E-01
1,000000000000E+01;5,082862E+01;-1,160728E+00
1,100000000000E+01;5,077311E+01;-2,310426E+00
1,200000000000E+01;5,015857E+01;-2,382109E+00
1,300000000000E+01;4,895658E+01;-2,905881E+00
1,400000000000E+01;4,810114E+01;-2,547945E+00
1,500000000000E+01;4,807182E+01;-1,665054E+00
1,600000000000E+01;4,859124E+01;-8,036083E-01
1,700000000000E+01;4,900290E+01;-5,733756E-01
1,800000000000E+01;4,872238E+01;-4,978813E-01
1,900000000000E+01;4,865598E+01;-1,022936E-01
2,000000000000E+01;4,927351E+01;4,090922E-01
2,100000000000E+01;4,986073E+01;9,911380E-03
2,200000000000E+01;4,988410E+01;-5,310043E-01
2,300000000000E+01;4,975740E+01;-7,130774E-01
2,400000000000E+01;4,973126E+01;-7,326008E-01
2,500000000000E+01;4,993297E+01;-8,531916E-01
2,600000000000E+01;4,992264E+01;-1,154736E+00
2,700000000000E+01;4,969080E+01;-1,496329E+00
2,800000000000E+01;4,909954E+01;-1,809385E+00
2,900000000000E+01;4,875761E+01;-1,486652E+00
3,000000000000E+01;4,860202E+01;-1,174634E+00
3,100000000000E+01;4,852606E+01;-1,143413E+00
3,200000000000E+01;4,844774E+01;-1,023925E+00
3,300000000000E+01;4,838751E+01;-8,932137E-01
3,400000000000E+01;4,829790E+01;-7,420095E-01
3,500000000000E+01;4,829915E+01;-5,811666E-01
3,600000000000E+01;4,850486E+01;-4,584620E-01
3,700000000000E+01;4,856563E+01;-4,069257E-01
3,800000000000E+01;4,862201E+01;-4,353397E-01
3,900000000000E+01;4,867837E+01;-4,408219E-01
4,000000000000E+01;4,867999E+01;-4,423435E-01
4,100000000000E+01;4,881853E+01;-4,095185E-01
4,200000000000E+01;4,894687E+01;-5,847514E-01
4,300000000000E+01;4,894106E+01;-7,762287E-01
4,400000000000E+01;4,886813E+01;-1,065483E+00
4,500000000000E+01;4,862073E+01;-1,219038E+00
4,600000000000E+01;4,840249E+01;-1,134148E+00
4,700000000000E+01;4,827419E+01;-1,022734E+00
4,800000000000E+01;4,823954E+01;-9,977294E-01
4,900000000000E+01;4,817487E+01;-1,104159E+00
5,000000000000E+01;4,803639E+01;-1,073278E+00
5,100000000000E+01;4,789302E+01;-1,009371E+00
5,200000000000E+01;4,788138E+01;-1,013793E+00
5,300000000000E+01;4,787590E+01;-1,005832E+00
5,400000000000E+01;4,790306E+01;-9,580446E-01
5,500000000000E+01;4,795880E+01;-9,885894E-01
5,600000000000E+01;4,788146E+01;-1,069912E+00
5,700000000000E+01;4,792128E+01;-1,120338E+00
5,800000000000E+01;4,799101E+01;-1,215709E+00
5,900000000000E+01;4,801385E+01;-1,317099E+00
6,000000000000E+01;4,790199E+01;-1,368236E+00
6,100000000000E+01;4,801737E+01;-1,676259E+00
6,200000000000E+01;4,794997E+01;-2,245831E+00
6,300000000000E+01;4,747343E+01;-2,954266E+00
6,400000000000E+01;4,654303E+01;-3,080677E+00
6,500000000000E+01;4,566375E+01;-2,751545E+00
6,600000000000E+01;4,540238E+01;-2,186685E+00
6,700000000000E+01;4,536464E+01;-1,762162E+00
6,800000000000E+01;4,536222E+01;-1,449204E+00
6,900000000000E+01;4,526244E+01;-1,258869E+00
7,000000000000E+01;4,533595E+01;-1,015783E+00
7,100000000000E+01;4,549144E+01;-8,833885E-01
7,200000000000E+01;4,535476E+01;-8,206958E-01
7,300000000000E+01;4,530322E+01;-8,531628E-01
7,400000000000E+01;4,558957E+01;-8,176195E-01
7,500000000000E+01;4,605425E+01;-8,232281E-01
7,600000000000E+01;4,618925E+01;-1,256782E+00
7,700000000000E+01;4,612709E+01;-2,250806E+00
7,800000000000E+01;4,549524E+01;-2,680040E+00
7,900000000000E+01;4,439935E+01;-2,696976E+00
8,000000000000E+01;4,364889E+01;-2,412583E+00
8,100000000000E+01;4,331128E+01;-1,883789E+00
8,200000000000E+01;4,322339E+01;-1,405688E+00
8,300000000000E+01;4,317803E+01;-1,066327E+00
8,400000000000E+01;4,307986E+01;-9,831597E-01
8,500000000000E+01;4,306756E+01;-9,231997E-01
8,600000000000E+01;4,308209E+01;-8,707168E-01
8,700000000000E+01;4,304639E+01;-8,487237E-01
8,800000000000E+01;4,293693E+01;-8,666642E-01
8,900000000000E+01;4,276882E+01;-8,923092E-01
9,000000000000E+01;4,254895E+01;-8,832861E-01
9,100000000000E+01;4,233396E+01;-8,428907E-01
9,200000000000E+01;4,215378E+01;-7,906581E-01
9,300000000000E+01;4,197789E+01;-7,309104E-01
9,400000000000E+01;4,182392E+01;-6,874220E-01
9,500000000000E+01;4,163384E+01;-6,715360E-01
9,600000000000E+01;4,149614E+01;-6,204481E-01
9,700000000000E+01;4,130862E+01;-5,701673E-01
9,800000000000E+01;4,110114E+01;-5,539644E-01
9,900000000000E+01;4,085112E+01;-5,632667E-01
1,000000000000E+02;4,064641E+01;-5,433105E-01
1,010000000000E+02;4,036094E+01;-4,822007E-01
1,020000000000E+02;4,007255E+01;-4,308664E-01
1,030000000000E+02;3,982620E+01;-3,385170E-01
1,040000000000E+02;3,963839E+01;-2,455099E-01
1,050000000000E+02;3,943108E+01;-1,935175E-01
1,060000000000E+02;3,919786E+01;-1,594723E-01
1,070000000000E+02;3,892947E+01;-1,745028E-01
1,080000000000E+02;3,867089E+01;-1,609312E-01
1,090000000000E+02;3,839068E+01;-9,387923E-02
1,100000000000E+02;3,813041E+01;-6,159141E-02
1,110000000000E+02;3,778619E+01;-2,006026E-02
1,120000000000E+02;3,738616E+01;2,174853E-02
1,130000000000E+02;3,710675E+01;7,178905E-02
1,140000000000E+02;3,680597E+01;1,391246E-01
1,150000000000E+02;3,641155E+01;1,376154E-01
1,160000000000E+02;3,603253E+01;1,651957E-01
1,170000000000E+02;3,553603E+01;2,325147E-01
1,180000000000E+02;3,514140E+01;2,764870E-01
1,190000000000E+02;3,464738E+01;3,217783E-01
1,200000000000E+02;3,414395E+01;4,117094E-01
1,210000000000E+02;3,365027E+01;4,865035E-01
1,220000000000E+02;3,306461E+01;5,665923E-01
1,230000000000E+02;3,256661E+01;6,786290E-01
1,240000000000E+02;3,193104E+01;7,964921E-01
1,250000000000E+02;3,121995E+01;9,563923E-01
1,260000000000E+02;3,060239E+01;1,046324E+00
1,270000000000E+02;2,973858E+01;1,213311E+00
1,280000000000E+02;2,871811E+01;1,414648E+00
1,290000000000E+02;2,780383E+01;1,635995E+00
1,300000000000E+02;2,685184E+01;1,902983E+00
1,310000000000E+02;2,559860E+01;2,315500E+00
1,320000000000E+02;2,429409E+01;2,800212E+00
1,330000000000E+02;2,276594E+01;3,439738E+00
1,340000000000E+02;2,123272E+01;4,207771E+00
1,350000000000E+02;1,928176E+01;5,210496E+00
1,360000000000E+02;1,687251E+01;6,709654E+00
1,370000000000E+02;1,469522E+01;8,382904E+00
1,380000000000E+02;1,180573E+01;1,109351E+01
1,390000000000E+02;8,737908E+00;1,482369E+01
1,400000000000E+02;5,910010E+00;2,010056E+01
1,410000000000E+02;3,590191E+00;2,886582E+01
1,420000000000E+02;4,893319E+00;4,097279E+01
1,430000000000E+02;1,754593E+01;5,577218E+01
1,440000000000E+02;4,312413E+01;5,981436E+01
1,450000000000E+02;5,900667E+01;4,833405E+01
1,460000000000E+02;6,425536E+01;3,333701E+01
1,470000000000E+02;6,246778E+01;2,125376E+01
1,480000000000E+02;5,868079E+01;1,430939E+01
1,490000000000E+02;5,410269E+01;9,827972E+00
1,500000000000E+02;5,079535E+01;7,292679E+00
1,510000000000E+02;4,740084E+01;5,516317E+00
1,520000000000E+02;4,454300E+01;4,237459E+00
1,530000000000E+02;4,236448E+01;3,494270E+00
1,540000000000E+02;4,025851E+01;2,949173E+00
1,550000000000E+02;3,808218E+01;2,521655E+00
1,560000000000E+02;3,611629E+01;2,240975E+00
1,570000000000E+02;3,422585E+01;2,061449E+00
1,580000000000E+02;3,256351E+01;2,000085E+00
1,590000000000E+02;3,093419E+01;1,946408E+00
1,600000000000E+02;2,907557E+01;1,926598E+00
1,610000000000E+02;2,755597E+01;1,937711E+00
1,620000000000E+02;2,601178E+01;1,972154E+00
1,630000000000E+02;2,417735E+01;2,061578E+00
1,640000000000E+02;2,267619E+01;2,101126E+00
1,650000000000E+02;2,077459E+01;2,245983E+00
1,660000000000E+02;1,914189E+01;2,343936E+00
1,670000000000E+02;1,703625E+01;2,484843E+00
1,680000000000E+02;1,511511E+01;2,681401E+00
1,690000000000E+02;1,310353E+01;2,817202E+00
1,700000000000E+02;1,083149E+01;3,109787E+00
1,710000000000E+02;8,492448E+00;3,286284E+00
1,720000000000E+02;5,907502E+00;3,673809E+00
1,730000000000E+02;3,420873E+00;3,892777E+00
1,740000000000E+02;2,302337E-01;4,382932E+00
1,750000000000E+02;-2,474811E+00;4,708093E+00
1,760000000000E+02;-5,228031E+00;5,108597E+00
1,770000000000E+02;-8,527587E+00;5,615310E+00
1,780000000000E+02;-1,214308E+01;6,230426E+00
1,790000000000E+02;-1,694057E+01;7,084957E+00
1,800000000000E+02;-2,160394E+01;7,869085E+00
1,810000000000E+02;-2,746787E+01;9,185718E+00
1,820000000000E+02;-3,377050E+01;1,040876E+01
1,830000000000E+02;-4,058490E+01;1,223984E+01
1,840000000000E+02;-4,859416E+01;1,408572E+01
1,850000000000E+02;-5,816452E+01;1,718352E+01
1,860000000000E+02;-6,803558E+01;2,000764E+01
1,870000000000E+02;-8,138603E+01;2,453312E+01
1,880000000000E+02;-9,587017E+01;3,050615E+01
1,890000000000E+02;-1,141790E+02;3,790588E+01
1,900000000000E+02;-1,350304E+02;4,893357E+01
1,910000000000E+02;-1,646241E+02;6,460208E+01
1,920000000000E+02;-1,986656E+02;8,925726E+01
1,930000000000E+02;-2,511857E+02;1,314235E+02
1,940000000000E+02;-3,096834E+02;2,056249E+02
1,950000000000E+02;-3,575503E+02;3,243380E+02
1,960000000000E+02;-3,129596E+02;6,064948E+02
1,970000000000E+02;5,180338E+01;8,401112E+02
1,980000000000E+02;4,393503E+02;6,354769E+02
1,990000000000E+02;5,064760E+02;3,331688E+02
2,000000000000E+02;4,471364E+02;1,920462E+02
2,010000000000E+02;3,845737E+02;1,153708E+02
2,020000000000E+02;3,312065E+02;7,658461E+01
2,030000000000E+02;2,940438E+02;5,468349E+01
2,040000000000E+02;2,645967E+02;4,045667E+01
2,050000000000E+02;2,421289E+02;3,141026E+01
2,060000000000E+02;2,225235E+02;2,377676E+01
2,070000000000E+02;2,080246E+02;1,830065E+01
2,080000000000E+02;1,960578E+02;1,504323E+01
2,090000000000E+02;1,836738E+02;1,171888E+01
2,100000000000E+02;1,756058E+02;9,790668E+00
2,110000000000E+02;1,670493E+02;8,084011E+00
2,120000000000E+02;1,592992E+02;6,751354E+00
2,130000000000E+02;1,529324E+02;5,582084E+00
2,140000000000E+02;1,478116E+02;5,073496E+00
2,150000000000E+02;1,433605E+02;4,887781E+00
2,160000000000E+02;1,387848E+02;4,136579E+00
2,170000000000E+02;1,348170E+02;3,695280E+00
2,180000000000E+02;1,309587E+02;3,642782E+00
2,190000000000E+02;1,282129E+02;3,921191E+00
2,200000000000E+02;1,253724E+02;3,857549E+00
2,210000000000E+02;1,231828E+02;3,630245E+00
2,220000000000E+02;1,206718E+02;3,011790E+00
2,230000000000E+02;1,188172E+02;2,909835E+00
2,240000000000E+02;1,168289E+02;2,758714E+00
2,250000000000E+02;1,149909E+02;2,291178E+00
2,260000000000E+02;1,132004E+02;2,056970E+00
2,270000000000E+02;1,115039E+02;1,996362E+00
2,280000000000E+02;1,100216E+02;1,758152E+00
2,290000000000E+02;1,085067E+02;1,673461E+00
2,300000000000E+02;1,070240E+02;1,804718E+00
2,310000000000E+02;1,058147E+02;1,609450E+00
2,320000000000E+02;1,048959E+02;1,628901E+00
2,330000000000E+02;1,036210E+02;1,483561E+00
2,340000000000E+02;1,027973E+02;1,111680E+00
2,350000000000E+02;1,016897E+02;9,223723E-01
2,360000000000E+02;1,006924E+02;7,581192E-01
2,370000000000E+02;9,980478E+01;7,966643E-01
2,380000000000E+02;9,884151E+01;6,643540E-01
2,390000000000E+02;9,805675E+01;6,897505E-01
2,400000000000E+02;9,732407E+01;7,962235E-01
2,410000000000E+02;9,656763E+01;5,526251E-01
2,420000000000E+02;9,596941E+01;2,957966E-01
2,430000000000E+02;9,511677E+01;3,179364E-01
2,440000000000E+02;9,442525E+01;2,041295E-01
2,450000000000E+02;9,366170E+01;7,135401E-02
2,460000000000E+02;9,297722E+01;8,619906E-02
2,470000000000E+02;9,240024E+01;-4,612701E-02
2,480000000000E+02;9,180455E+01;-1,527508E-01
2,490000000000E+02;9,120236E+01;-2,425449E-01
2,500000000000E+02;9,072610E+01;-3,209247E-01
2,510000000000E+02;9,014468E+01;-3,374228E-01
2,520000000000E+02;8,945986E+01;-3,453830E-01
2,530000000000E+02;8,908205E+01;-3,682573E-01
2,540000000000E+02;8,874107E+01;-3,978073E-01
2,550000000000E+02;8,811156E+01;-4,170242E-01
2,560000000000E+02;8,769630E+01;-4,826943E-01
2,570000000000E+02;8,723015E+01;-5,400198E-01
2,580000000000E+02;8,681413E+01;-5,340783E-01
2,590000000000E+02;8,627117E+01;-5,278024E-01
2,600000000000E+02;8,587482E+01;-5,332566E-01
2,610000000000E+02;8,569772E+01;-5,349440E-01
2,620000000000E+02;8,535469E+01;-5,162881E-01
2,630000000000E+02;8,486271E+01;-6,235880E-01
2,640000000000E+02;8,448183E+01;-6,895052E-01
2,650000000000E+02;8,412061E+01;-6,786525E-01
2,660000000000E+02;8,389963E+01;-6,266428E-01
2,670000000000E+02;8,353538E+01;-6,211279E-01
2,680000000000E+02;8,324636E+01;-6,699963E-01
2,690000000000E+02;8,296532E+01;-6,568314E-01
2,700000000000E+02;8,269992E+01;-7,353333E-01
2,710000000000E+02;8,231613E+01;-7,557802E-01
2,720000000000E+02;8,204971E+01;-8,374006E-01
2,730000000000E+02;8,175093E+01;-9,477144E-01
2,740000000000E+02;8,139849E+01;-8,531826E-01
2,750000000000E+02;8,125544E+01;-8,603837E-01
2,760000000000E+02;8,091691E+01;-9,580711E-01
2,770000000000E+02;8,051768E+01;-9,087363E-01
2,780000000000E+02;8,022617E+01;-7,805330E-01
2,790000000000E+02;8,004478E+01;-7,471645E-01
2,800000000000E+02;7,980801E+01;-6,934843E-01
2,810000000000E+02;7,961064E+01;-7,406441E-01
2,820000000000E+02;7,938860E+01;-8,319505E-01
2,830000000000E+02;7,919588E+01;-9,137196E-01
2,840000000000E+02;7,894949E+01;-8,858168E-01
2,850000000000E+02;7,885146E+01;-9,773380E-01
2,860000000000E+02;7,860203E+01;-9,181681E-01
2,870000000000E+02;7,836396E+01;-9,122808E-01
2,880000000000E+02;7,819861E+01;-9,210429E-01
2,890000000000E+02;7,794729E+01;-8,860737E-01
2,900000000000E+02;7,766508E+01;-8,671108E-01
2,910000000000E+02;7,757021E+01;-9,905072E-01
2,920000000000E+02;7,744611E+01;-8,837135E-01
2,930000000000E+02;7,731097E+01;-8,194825E-01
2,940000000000E+02;7,705559E+01;-8,814081E-01
2,950000000000E+02;7,681851E+01;-8,311405E-01
2,960000000000E+02;7,669932E+01;-7,895612E-01
2,970000000000E+02;7,662077E+01;-7,969466E-01
2,980000000000E+02;7,649286E+01;-9,009690E-01
2,990000000000E+02;7,629311E+01;-8,520349E-01
3,000000000000E+02;7,611123E+01;-7,474774E-01
3,010000000000E+02;7,585423E+01;-7,499502E-01
3,020000000000E+02;7,560872E+01;-8,018321E-01
3,030000000000E+02;7,545164E+01;-8,125074E-01
3,040000000000E+02;7,546002E+01;-7,669991E-01
3,050000000000E+02;7,535031E+01;-6,225933E-01
3,060000000000E+02;7,507238E+01;-6,216711E-01
3,070000000000E+02;7,506789E+01;-7,496104E-01
3,080000000000E+02;7,488728E+01;-6,733527E-01
3,090000000000E+02;7,471762E+01;-5,476620E-01
3,100000000000E+02;7,449084E+01;-5,202785E-01
3,110000000000E+02;7,440591E+01;-3,981609E-01
3,120000000000E+02;7,436818E+01;-4,103027E-01
3,130000000000E+02;7,427538E+01;-3,940012E-01
3,140000000000E+02;7,421909E+01;-4,047371E-01
3,150000000000E+02;7,417723E+01;-3,339617E-01
3,160000000000E+02;7,415791E+01;-1,935382E-01
3,170000000000E+02;7,403408E+01;-2,215112E-01
3,180000000000E+02;7,398600E+01;-2,168136E-01
3,190000000000E+02;7,390697E+01;-3,237705E-01
3,200000000000E+02;7,390781E+01;-3,910989E-01
3,210000000000E+02;7,387183E+01;-3,503849E-01
3,220000000000E+02;7,378045E+01;-4,148413E-01
3,230000000000E+02;7,362959E+01;-4,317925E-01
3,240000000000E+02;7,356345E+01;-3,493543E-01
3,250000000000E+02;7,344447E+01;-4,298525E-01
3,260000000000E+02;7,332349E+01;-5,496595E-01
3,270000000000E+02;7,329486E+01;-5,727594E-01
3,280000000000E+02;7,318407E+01;-5,389214E-01
3,290000000000E+02;7,301564E+01;-5,673783E-01
3,300000000000E+02;7,294316E+01;-5,714005E-01
3,310000000000E+02;7,293153E+01;-5,897467E-01
3,320000000000E+02;7,279583E+01;-6,872531E-01
3,330000000000E+02;7,272823E+01;-5,895419E-01
3,340000000000E+02;7,263770E+01;-6,398237E-01
3,350000000000E+02;7,258909E+01;-7,139304E-01
3,360000000000E+02;7,253613E+01;-7,018339E-01
3,370000000000E+02;7,246378E+01;-6,269063E-01
3,380000000000E+02;7,231246E+01;-6,569853E-01
3,390000000000E+02;7,218662E+01;-6,573881E-01
3,400000000000E+02;7,211095E+01;-7,315012E-01
3,410000000000E+02;7,209518E+01;-7,538987E-01
3,420000000000E+02;7,196640E+01;-7,535086E-01
3,430000000000E+02;7,189751E+01;-8,284211E-01
3,440000000000E+02;7,176453E+01;-8,270971E-01
3,450000000000E+02;7,166956E+01;-7,428628E-01
3,460000000000E+02;7,159673E+01;-7,970020E-01
3,470000000000E+02;7,155177E+01;-7,475759E-01
3,480000000000E+02;7,143407E+01;-7,401438E-01
3,490000000000E+02;7,140747E+01;-7,819837E-01
3,500000000000E+02;7,141656E+01;-7,400090E-01
3,510000000000E+02;7,127329E+01;-7,297116E-01
3,520000000000E+02;7,109433E+01;-6,757032E-01
3,530000000000E+02;7,107236E+01;-7,165893E-01
3,540000000000E+02;7,101168E+01;-7,659194E-01
3,550000000000E+02;7,088957E+01;-8,257962E-01
3,560000000000E+02;7,080678E+01;-9,312819E-01
3,570000000000E+02;7,077428E+01;-9,057035E-01
