CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/29/2022 13:23:44

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;2,162015E-01;0,000000E+00
1,000000000000E+00;3,265831E-01;9,859476E-01
2,000000000000E+00;8,753999E-01;4,781391E-01
3,000000000000E+00;1,287068E+01;1,099939E+00
4,000000000000E+00;3,469041E+01;1,387882E+00
5,000000000000E+00;4,732988E+01;3,135425E+00
6,000000000000E+00;5,310730E+01;3,208110E+00
7,000000000000E+00;5,464020E+01;2,519000E+00
8,000000000000E+00;5,457365E+01;-1,076342E-01
9,000000000000E+00;5,364116E+01;-1,530117E+00
1,000000000000E+01;5,367799E+01;-1,355241E+00
1,100000000000E+01;5,200904E+01;-3,215135E+00
1,200000000000E+01;4,967811E+01;-2,656256E+00
1,300000000000E+01;4,916713E+01;-1,638359E+00
1,400000000000E+01;4,878225E+01;-8,982335E-01
1,500000000000E+01;4,888096E+01;-3,963924E-01
1,600000000000E+01;4,875545E+01;-1,770538E-01
1,700000000000E+01;4,893663E+01;2,495745E-01
1,800000000000E+01;4,926466E+01;9,234924E-02
1,900000000000E+01;4,877884E+01;-1,499542E-01
2,000000000000E+01;4,854386E+01;2,484986E-01
2,100000000000E+01;4,839957E+01;3,913222E-01
2,200000000000E+01;4,803563E+01;5,682110E-01
2,300000000000E+01;4,776263E+01;1,358710E+00
2,400000000000E+01;4,837485E+01;2,644587E+00
2,500000000000E+01;4,990466E+01;2,945823E+00
2,600000000000E+01;5,077959E+01;2,042314E+00
2,700000000000E+01;5,130113E+01;1,658160E+00
2,800000000000E+01;5,168182E+01;3,719957E-01
2,900000000000E+01;5,108140E+01;-4,854366E-01
3,000000000000E+01;5,051362E+01;-7,141256E-01
3,100000000000E+01;5,017614E+01;-7,078117E-01
3,200000000000E+01;4,991103E+01;-6,359117E-01
3,300000000000E+01;4,967846E+01;-6,335256E-01
3,400000000000E+01;4,954956E+01;-5,363256E-01
3,500000000000E+01;4,952751E+01;-5,111963E-01
3,600000000000E+01;4,937741E+01;-5,942207E-01
3,700000000000E+01;4,924851E+01;-6,295745E-01
3,800000000000E+01;4,923378E+01;-5,205409E-01
3,900000000000E+01;4,929539E+01;-3,325944E-01
4,000000000000E+01;4,937730E+01;-3,344885E-01
4,100000000000E+01;4,937986E+01;-4,733889E-01
4,200000000000E+01;4,930366E+01;-5,416206E-01
4,300000000000E+01;4,929211E+01;-5,804480E-01
4,400000000000E+01;4,935078E+01;-6,621127E-01
4,500000000000E+01;4,922044E+01;-8,609691E-01
4,600000000000E+01;4,906038E+01;-8,998567E-01
4,700000000000E+01;4,887098E+01;-9,294887E-01
4,800000000000E+01;4,877328E+01;-9,280038E-01
4,900000000000E+01;4,874576E+01;-8,915377E-01
5,000000000000E+01;4,865817E+01;-9,038560E-01
5,100000000000E+01;4,861761E+01;-8,994200E-01
5,200000000000E+01;4,850012E+01;-8,804494E-01
5,300000000000E+01;4,847443E+01;-8,024300E-01
5,400000000000E+01;4,842827E+01;-7,646810E-01
5,500000000000E+01;4,842385E+01;-7,717519E-01
5,600000000000E+01;4,849953E+01;-8,062618E-01
5,700000000000E+01;4,856916E+01;-8,149559E-01
5,800000000000E+01;4,861414E+01;-8,083870E-01
5,900000000000E+01;4,879384E+01;-8,732353E-01
6,000000000000E+01;4,915714E+01;-1,237353E+00
6,100000000000E+01;4,909843E+01;-1,792606E+00
6,200000000000E+01;4,867054E+01;-2,359761E+00
6,300000000000E+01;4,820019E+01;-2,663519E+00
6,400000000000E+01;4,765677E+01;-2,921435E+00
6,500000000000E+01;4,688494E+01;-2,889378E+00
6,600000000000E+01;4,633725E+01;-2,356185E+00
6,700000000000E+01;4,618771E+01;-1,833984E+00
6,800000000000E+01;4,618862E+01;-1,646612E+00
6,900000000000E+01;4,622204E+01;-1,400147E+00
7,000000000000E+01;4,624382E+01;-1,174129E+00
7,100000000000E+01;4,630971E+01;-1,062604E+00
7,200000000000E+01;4,641533E+01;-1,035518E+00
7,300000000000E+01;4,648211E+01;-1,017132E+00
7,400000000000E+01;4,667140E+01;-1,065343E+00
7,500000000000E+01;4,698730E+01;-1,155271E+00
7,600000000000E+01;4,731477E+01;-1,573585E+00
7,700000000000E+01;4,722451E+01;-2,406108E+00
7,800000000000E+01;4,650523E+01;-3,214034E+00
7,900000000000E+01;4,562799E+01;-3,453481E+00
8,000000000000E+01;4,466920E+01;-3,127990E+00
8,100000000000E+01;4,416760E+01;-2,605983E+00
8,200000000000E+01;4,387996E+01;-2,047315E+00
8,300000000000E+01;4,382600E+01;-1,721385E+00
8,400000000000E+01;4,386454E+01;-1,370329E+00
8,500000000000E+01;4,385779E+01;-1,239922E+00
8,600000000000E+01;4,389830E+01;-1,161437E+00
8,700000000000E+01;4,390604E+01;-1,089208E+00
8,800000000000E+01;4,385400E+01;-1,074077E+00
8,900000000000E+01;4,377353E+01;-1,062729E+00
9,000000000000E+01;4,369645E+01;-1,063800E+00
9,100000000000E+01;4,358943E+01;-1,106356E+00
9,200000000000E+01;4,347649E+01;-1,138913E+00
9,300000000000E+01;4,334462E+01;-1,093328E+00
9,400000000000E+01;4,319159E+01;-1,062104E+00
9,500000000000E+01;4,299647E+01;-1,070211E+00
9,600000000000E+01;4,280225E+01;-1,051289E+00
9,700000000000E+01;4,260108E+01;-1,018119E+00
9,800000000000E+01;4,242524E+01;-9,228463E-01
9,900000000000E+01;4,232373E+01;-8,869830E-01
1,000000000000E+02;4,224213E+01;-9,296157E-01
1,010000000000E+02;4,208312E+01;-6,903414E-01
1,020000000000E+02;4,195686E+01;-5,877287E-01
1,030000000000E+02;4,188814E+01;-5,554289E-01
1,040000000000E+02;4,175956E+01;-5,099439E-01
