CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/29/2022 13:23:44

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;5,414683E-01;0,000000E+00
1,000000000000E+00;2,136704E-01;-8,972298E-02
2,000000000000E+00;5,894997E-01;3,073626E-01
3,000000000000E+00;1,120465E+01;-2,230160E-01
4,000000000000E+00;2,397854E+01;-8,717090E-01
5,000000000000E+00;3,418344E+01;5,724719E-01
6,000000000000E+00;4,156346E+01;-4,266367E-01
7,000000000000E+00;4,617733E+01;3,994423E-01
8,000000000000E+00;5,019925E+01;-4,312394E-01
9,000000000000E+00;5,169277E+01;-1,208071E+00
1,000000000000E+01;5,239616E+01;-3,315096E+00
1,100000000000E+01;4,972857E+01;-5,195662E+00
1,200000000000E+01;4,854716E+01;-3,072697E+00
1,300000000000E+01;4,818227E+01;-2,122373E+00
1,400000000000E+01;4,821042E+01;-1,767963E+00
1,500000000000E+01;4,813243E+01;-1,000029E+00
1,600000000000E+01;4,820130E+01;-5,571176E-01
1,700000000000E+01;4,850750E+01;-2,949288E-01
1,800000000000E+01;4,856216E+01;-2,923800E-01
1,900000000000E+01;4,864134E+01;-7,096504E-02
2,000000000000E+01;4,916880E+01;2,451138E-01
2,100000000000E+01;4,993584E+01;1,735183E-01
2,200000000000E+01;5,028054E+01;-2,844707E-01
2,300000000000E+01;5,001738E+01;-7,291659E-01
2,400000000000E+01;5,000096E+01;-6,381347E-01
2,500000000000E+01;5,015965E+01;-6,513928E-01
2,600000000000E+01;4,990440E+01;-8,115164E-01
2,700000000000E+01;4,980119E+01;-8,690885E-01
2,800000000000E+01;4,993103E+01;-1,246683E+00
2,900000000000E+01;4,963939E+01;-1,321359E+00
3,000000000000E+01;4,929661E+01;-1,294566E+00
3,100000000000E+01;4,909488E+01;-1,202906E+00
3,200000000000E+01;4,899464E+01;-1,052061E+00
3,300000000000E+01;4,884632E+01;-8,615254E-01
3,400000000000E+01;4,882140E+01;-6,549836E-01
3,500000000000E+01;4,897791E+01;-5,961338E-01
3,600000000000E+01;4,902436E+01;-5,026640E-01
3,700000000000E+01;4,895850E+01;-4,990397E-01
3,800000000000E+01;4,893628E+01;-4,354281E-01
3,900000000000E+01;4,905899E+01;-2,185164E-01
4,000000000000E+01;4,932615E+01;-1,707330E-01
4,100000000000E+01;4,944528E+01;-3,296901E-01
4,200000000000E+01;4,944276E+01;-4,791684E-01
4,300000000000E+01;4,950011E+01;-6,032947E-01
4,400000000000E+01;4,953635E+01;-7,097162E-01
4,500000000000E+01;4,947268E+01;-8,724080E-01
4,600000000000E+01;4,927656E+01;-1,070405E+00
4,700000000000E+01;4,909526E+01;-1,142119E+00
4,800000000000E+01;4,902275E+01;-1,133277E+00
4,900000000000E+01;4,897072E+01;-1,055876E+00
5,000000000000E+01;4,890941E+01;-9,964249E-01
5,100000000000E+01;4,884150E+01;-9,796098E-01
5,200000000000E+01;4,879394E+01;-1,001542E+00
5,300000000000E+01;4,874173E+01;-9,726154E-01
5,400000000000E+01;4,867903E+01;-9,677120E-01
5,500000000000E+01;4,867999E+01;-9,591289E-01
5,600000000000E+01;4,868190E+01;-9,180872E-01
5,700000000000E+01;4,875080E+01;-8,944042E-01
5,800000000000E+01;4,886433E+01;-8,601443E-01
5,900000000000E+01;4,912220E+01;-8,732819E-01
6,000000000000E+01;4,934188E+01;-1,106892E+00
6,100000000000E+01;4,952502E+01;-1,561530E+00
6,200000000000E+01;4,946645E+01;-2,360127E+00
6,300000000000E+01;4,899726E+01;-3,125130E+00
6,400000000000E+01;4,817879E+01;-3,627290E+00
6,500000000000E+01;4,688247E+01;-3,493362E+00
6,600000000000E+01;4,637481E+01;-2,801310E+00
6,700000000000E+01;4,627885E+01;-2,150696E+00
6,800000000000E+01;4,619978E+01;-1,859888E+00
6,900000000000E+01;4,613420E+01;-1,626368E+00
7,000000000000E+01;4,612537E+01;-1,355854E+00
7,100000000000E+01;4,624546E+01;-1,025510E+00
7,200000000000E+01;4,635590E+01;-8,570722E-01
7,300000000000E+01;4,663525E+01;-6,325652E-01
7,400000000000E+01;4,703820E+01;-5,659387E-01
7,500000000000E+01;4,766202E+01;-8,186185E-01
7,600000000000E+01;4,807595E+01;-1,713788E+00
7,700000000000E+01;4,762457E+01;-3,008686E+00
7,800000000000E+01;4,664370E+01;-3,762182E+00
7,900000000000E+01;4,552694E+01;-3,731962E+00
8,000000000000E+01;4,455333E+01;-3,078385E+00
8,100000000000E+01;4,408878E+01;-2,414307E+00
8,200000000000E+01;4,406366E+01;-1,848167E+00
8,300000000000E+01;4,416402E+01;-1,499222E+00
8,400000000000E+01;4,423880E+01;-1,243179E+00
8,500000000000E+01;4,428273E+01;-1,073558E+00
8,600000000000E+01;4,434100E+01;-1,033756E+00
8,700000000000E+01;4,434100E+01;-9,901264E-01
8,800000000000E+01;4,433496E+01;-9,511828E-01
8,900000000000E+01;4,430120E+01;-9,917931E-01
9,000000000000E+01;4,418532E+01;-1,010066E+00
9,100000000000E+01;4,404732E+01;-1,016659E+00
9,200000000000E+01;4,387212E+01;-9,930338E-01
9,300000000000E+01;4,369930E+01;-9,524256E-01
9,400000000000E+01;4,359109E+01;-9,222206E-01
9,500000000000E+01;4,348084E+01;-8,752753E-01
9,600000000000E+01;4,336296E+01;-8,665399E-01
9,700000000000E+01;4,325031E+01;-8,571810E-01
9,800000000000E+01;4,313448E+01;-8,745300E-01
9,900000000000E+01;4,284734E+01;-9,959112E-01
1,000000000000E+02;4,255672E+01;-1,348824E+00
1,010000000000E+02;4,240541E+01;-8,875465E-01
1,020000000000E+02;4,226620E+01;-6,039811E-01
1,030000000000E+02;4,214175E+01;-5,061211E-01
1,040000000000E+02;4,204356E+01;-3,829845E-01
1,050000000000E+02;4,195047E+01;-2,646036E-01
1,060000000000E+02;4,188763E+01;-2,148873E-01
1,070000000000E+02;4,180958E+01;-2,219918E-01
1,080000000000E+02;4,169867E+01;-2,535159E-01
1,090000000000E+02;4,157258E+01;-2,725123E-01
1,100000000000E+02;4,140886E+01;-2,938249E-01
1,110000000000E+02;4,122749E+01;-3,350643E-01
1,120000000000E+02;4,102403E+01;-3,378075E-01
1,130000000000E+02;4,084081E+01;-3,211716E-01
