CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/29/2022 13:13:27

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;1,798204E-01;0,000000E+00
1,000000000000E+00;7,608728E-01;2,285666E-02
2,000000000000E+00;3,342896E+00;5,201639E-01
3,000000000000E+00;1,287200E+01;-4,202171E-01
4,000000000000E+00;2,700631E+01;4,066717E+00
5,000000000000E+00;3,860782E+01;3,426691E-01
6,000000000000E+00;4,365979E+01;1,532576E-01
7,000000000000E+00;4,775313E+01;1,087937E+00
8,000000000000E+00;4,895772E+01;8,666927E-01
9,000000000000E+00;4,884471E+01;2,664512E-02
1,000000000000E+01;4,924074E+01;-1,024169E+00
1,100000000000E+01;4,888997E+01;-2,150683E+00
1,200000000000E+01;4,750105E+01;-2,584242E+00
1,300000000000E+01;4,712653E+01;-1,377492E+00
1,400000000000E+01;4,720158E+01;-8,978251E-01
1,500000000000E+01;4,740248E+01;-7,688810E-01
1,600000000000E+01;4,777634E+01;-6,856052E-01
1,700000000000E+01;4,764702E+01;-8,150151E-01
1,800000000000E+01;4,728854E+01;-6,737441E-01
1,900000000000E+01;4,710123E+01;-2,770896E-01
2,000000000000E+01;4,743515E+01;2,136246E-01
2,100000000000E+01;4,799085E+01;2,745678E-01
2,200000000000E+01;4,846416E+01;-5,977678E-02
2,300000000000E+01;4,836888E+01;-4,486617E-01
2,400000000000E+01;4,796211E+01;-6,018021E-01
2,500000000000E+01;4,789999E+01;-5,336609E-01
2,600000000000E+01;4,795925E+01;-3,079457E-01
2,700000000000E+01;4,827381E+01;-3,630041E-01
2,800000000000E+01;4,837308E+01;-1,059637E+00
2,900000000000E+01;4,778972E+01;-1,266546E+00
3,000000000000E+01;4,744250E+01;-1,093069E+00
3,100000000000E+01;4,736998E+01;-9,068056E-01
3,200000000000E+01;4,736708E+01;-7,961370E-01
3,300000000000E+01;4,730351E+01;-7,876810E-01
3,400000000000E+01;4,723954E+01;-6,720001E-01
3,500000000000E+01;4,722334E+01;-5,508358E-01
3,600000000000E+01;4,724456E+01;-6,003509E-01
3,700000000000E+01;4,725048E+01;-5,546932E-01
3,800000000000E+01;4,730236E+01;-4,244675E-01
3,900000000000E+01;4,739496E+01;-3,712352E-01
4,000000000000E+01;4,753342E+01;-3,840829E-01
4,100000000000E+01;4,761457E+01;-5,184004E-01
4,200000000000E+01;4,757263E+01;-6,886075E-01
4,300000000000E+01;4,747549E+01;-8,859807E-01
4,400000000000E+01;4,741507E+01;-1,048096E+00
4,500000000000E+01;4,728072E+01;-1,044613E+00
4,600000000000E+01;4,711366E+01;-1,026825E+00
4,700000000000E+01;4,694144E+01;-1,037487E+00
4,800000000000E+01;4,681913E+01;-1,013086E+00
4,900000000000E+01;4,682568E+01;-9,570841E-01
5,000000000000E+01;4,678278E+01;-9,414542E-01
5,100000000000E+01;4,677854E+01;-9,339406E-01
5,200000000000E+01;4,674454E+01;-9,392114E-01
5,300000000000E+01;4,661178E+01;-1,004190E+00
5,400000000000E+01;4,652127E+01;-9,475332E-01
5,500000000000E+01;4,655422E+01;-8,705177E-01
5,600000000000E+01;4,665170E+01;-8,270763E-01
5,700000000000E+01;4,669535E+01;-8,827541E-01
