CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;04/29/2022 13:23:44

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;4,121867E-01;0,000000E+00
1,000000000000E+00;1,011809E-02;6,715372E-01
2,000000000000E+00;5,924395E-01;-1,044861E-01
3,000000000000E+00;1,216303E+01;-8,775138E-01
4,000000000000E+00;2,651223E+01;-2,084189E+00
5,000000000000E+00;3,826666E+01;-3,522223E+00
6,000000000000E+00;4,184794E+01;-1,796136E+00
7,000000000000E+00;4,102778E+01;3,614742E+00
8,000000000000E+00;4,669114E+01;6,600605E+00
9,000000000000E+00;5,206691E+01;1,203320E+00
1,000000000000E+01;5,051711E+01;-1,167286E+00
1,100000000000E+01;4,956959E+01;-2,247219E+00
1,200000000000E+01;4,736414E+01;-2,888299E+00
1,300000000000E+01;4,616227E+01;-1,278100E+00
1,400000000000E+01;4,621634E+01;-6,798722E-01
1,500000000000E+01;4,624316E+01;-2,973635E-01
1,600000000000E+01;4,666261E+01;6,508551E-02
1,700000000000E+01;4,680747E+01;-1,925269E-01
1,800000000000E+01;4,653100E+01;-5,001726E-01
1,900000000000E+01;4,631033E+01;-2,914132E-02
2,000000000000E+01;4,672766E+01;4,689931E-01
2,100000000000E+01;4,732952E+01;2,799676E-01
2,200000000000E+01;4,739144E+01;-4,848266E-02
2,300000000000E+01;4,732669E+01;-3,552854E-01
2,400000000000E+01;4,721610E+01;-5,015972E-01
2,500000000000E+01;4,695903E+01;-5,417810E-01
2,600000000000E+01;4,680237E+01;-3,551382E-01
2,700000000000E+01;4,706009E+01;-4,264344E-01
2,800000000000E+01;4,704669E+01;-8,351839E-01
2,900000000000E+01;4,674100E+01;-8,106483E-01
3,000000000000E+01;4,657823E+01;-7,815825E-01
3,100000000000E+01;4,652732E+01;-7,846479E-01
3,200000000000E+01;4,639419E+01;-9,136551E-01
3,300000000000E+01;4,623030E+01;-9,205322E-01
3,400000000000E+01;4,610047E+01;-7,804780E-01
3,500000000000E+01;4,614249E+01;-6,371560E-01
3,600000000000E+01;4,607255E+01;-6,733841E-01
3,700000000000E+01;4,593430E+01;-6,296243E-01
3,800000000000E+01;4,584052E+01;-4,818329E-01
3,900000000000E+01;4,591924E+01;-3,097025E-01
4,000000000000E+01;4,617356E+01;-2,828473E-01
4,100000000000E+01;4,632249E+01;-4,329541E-01
4,200000000000E+01;4,628860E+01;-5,520793E-01
4,300000000000E+01;4,621905E+01;-6,917350E-01
4,400000000000E+01;4,618186E+01;-9,671787E-01
4,500000000000E+01;4,613206E+01;-1,057817E+00
4,600000000000E+01;4,591978E+01;-1,161053E+00
4,700000000000E+01;4,571624E+01;-1,207835E+00
4,800000000000E+01;4,554055E+01;-1,185302E+00
4,900000000000E+01;4,536973E+01;-1,098328E+00
5,000000000000E+01;4,534316E+01;-1,012896E+00
5,100000000000E+01;4,527198E+01;-1,019136E+00
5,200000000000E+01;4,520205E+01;-9,956256E-01
5,300000000000E+01;4,514959E+01;-9,164441E-01
5,400000000000E+01;4,514978E+01;-8,872238E-01
5,500000000000E+01;4,517840E+01;-8,808571E-01
5,600000000000E+01;4,527910E+01;-8,788354E-01
5,700000000000E+01;4,534151E+01;-9,363021E-01
5,800000000000E+01;4,534776E+01;-1,058627E+00
5,900000000000E+01;4,540337E+01;-1,191021E+00
6,000000000000E+01;4,555147E+01;-1,407090E+00
6,100000000000E+01;4,557854E+01;-1,717972E+00
6,200000000000E+01;4,551051E+01;-2,213979E+00
6,300000000000E+01;4,495779E+01;-3,062585E+00
6,400000000000E+01;4,406053E+01;-3,604050E+00
6,500000000000E+01;4,297333E+01;-3,268176E+00
6,600000000000E+01;4,239761E+01;-2,586230E+00
6,700000000000E+01;4,233616E+01;-1,985799E+00
6,800000000000E+01;4,230096E+01;-1,716018E+00
6,900000000000E+01;4,219797E+01;-1,425036E+00
7,000000000000E+01;4,226422E+01;-1,068305E+00
7,100000000000E+01;4,240791E+01;-8,915550E-01
7,200000000000E+01;4,249120E+01;-8,537126E-01
7,300000000000E+01;4,253038E+01;-8,140621E-01
7,400000000000E+01;4,273156E+01;-7,383953E-01
7,500000000000E+01;4,305940E+01;-6,874489E-01
7,600000000000E+01;4,347734E+01;-1,015538E+00
7,700000000000E+01;4,371514E+01;-1,880842E+00
7,800000000000E+01;4,328354E+01;-3,010378E+00
7,900000000000E+01;4,207088E+01;-3,661860E+00
8,000000000000E+01;4,075273E+01;-3,574551E+00
8,100000000000E+01;3,988612E+01;-2,870012E+00
8,200000000000E+01;3,953706E+01;-2,140002E+00
8,300000000000E+01;3,954006E+01;-1,515737E+00
8,400000000000E+01;3,961923E+01;-1,226618E+00
8,500000000000E+01;3,966528E+01;-1,092408E+00
8,600000000000E+01;3,967495E+01;-9,660479E-01
8,700000000000E+01;3,967153E+01;-9,202773E-01
8,800000000000E+01;3,957963E+01;-8,961660E-01
8,900000000000E+01;3,947118E+01;-8,988721E-01
9,000000000000E+01;3,935615E+01;-9,071094E-01
9,100000000000E+01;3,921911E+01;-9,350395E-01
9,200000000000E+01;3,902198E+01;-9,125277E-01
9,300000000000E+01;3,876038E+01;-9,111801E-01
9,400000000000E+01;3,852675E+01;-9,253156E-01
9,500000000000E+01;3,823626E+01;-8,610487E-01
9,600000000000E+01;3,804520E+01;-7,379816E-01
9,700000000000E+01;3,784379E+01;-6,763490E-01
9,800000000000E+01;3,760427E+01;-6,055831E-01
9,900000000000E+01;3,746286E+01;-5,612721E-01
1,000000000000E+02;3,735163E+01;-6,088185E-01
1,010000000000E+02;3,706527E+01;-3,955791E-01
1,020000000000E+02;3,683205E+01;-2,454159E-01
1,030000000000E+02;3,668722E+01;-2,301067E-01
1,040000000000E+02;3,648095E+01;-2,292659E-01
1,050000000000E+02;3,628735E+01;-2,265889E-01
1,060000000000E+02;3,607439E+01;-2,198042E-01
1,070000000000E+02;3,576643E+01;-2,049779E-01
1,080000000000E+02;3,551236E+01;-2,012976E-01
1,090000000000E+02;3,525747E+01;-1,854612E-01
1,100000000000E+02;3,498353E+01;-1,785452E-01
1,110000000000E+02;3,467384E+01;-1,467636E-01
1,120000000000E+02;3,435154E+01;-1,179923E-01
1,130000000000E+02;3,402893E+01;-1,143278E-01
1,140000000000E+02;3,369601E+01;-7,496237E-02
1,150000000000E+02;3,333718E+01;-6,209886E-02
1,160000000000E+02;3,298518E+01;-3,214867E-02
1,170000000000E+02;3,260487E+01;1,850001E-02
1,180000000000E+02;3,221800E+01;3,239014E-02
1,190000000000E+02;3,179838E+01;6,459078E-02
