CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;07/28/2022 10:03:24

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;1,226835E-01;0,000000E+00
1,000000000000E+00;1,268864E-01;3,070426E-02
2,000000000000E+00;1,128776E+00;2,601056E-01
3,000000000000E+00;4,414998E+00;-1,129266E-01
4,000000000000E+00;5,937665E+00;-8,632466E-03
5,000000000000E+00;6,341107E+00;-3,270421E-01
6,000000000000E+00;6,604959E+00;-4,828343E-01
7,000000000000E+00;6,845101E+00;-5,197917E-01
8,000000000000E+00;7,047602E+00;-6,205744E-01
9,000000000000E+00;7,281435E+00;-6,248395E-01
1,000000000000E+01;7,643787E+00;-6,778456E-01
1,100000000000E+01;8,117625E+00;-8,375266E-01
1,200000000000E+01;8,666622E+00;-1,094652E+00
1,300000000000E+01;9,064916E+00;-1,281953E+00
1,400000000000E+01;9,458717E+00;-1,425676E+00
1,500000000000E+01;1,015793E+01;-1,686019E+00
1,600000000000E+01;1,099565E+01;-1,867580E+00
1,700000000000E+01;1,226129E+01;-2,302222E+00
1,800000000000E+01;1,362689E+01;-2,881152E+00
1,900000000000E+01;1,571944E+01;-4,175879E+00
2,000000000000E+01;1,726314E+01;-5,793072E+00
2,100000000000E+01;1,895499E+01;-6,711299E+00
2,200000000000E+01;2,235830E+01;-8,497491E+00
2,300000000000E+01;2,630235E+01;-1,055274E+01
2,400000000000E+01;3,348523E+01;-1,276768E+01
2,500000000000E+01;4,403319E+01;-3,150630E+01
2,600000000000E+01;2,232812E+01;-7,295066E+01
2,700000000000E+01;-1,439536E+01;-7,367589E+01
2,800000000000E+01;-4,069767E+01;-5,317847E+01
2,900000000000E+01;-4,471540E+01;-3,415598E+01
3,000000000000E+01;-4,357563E+01;-2,004548E+01
3,100000000000E+01;-4,029531E+01;-1,105898E+01
3,200000000000E+01;-3,562659E+01;-4,993591E+00
3,300000000000E+01;-3,293016E+01;-5,303436E-01
3,400000000000E+01;-3,249712E+01;3,713677E+00
3,500000000000E+01;-2,880267E+01;9,997239E+00
3,600000000000E+01;-1,408816E+01;1,167866E+01
3,700000000000E+01;-8,859647E+00;7,411274E+00
3,800000000000E+01;-8,211196E+00;2,943063E+00
3,900000000000E+01;-8,985045E+00;1,339657E+00
4,000000000000E+01;-9,330697E+00;1,109156E+00
4,100000000000E+01;-9,390734E+00;1,105575E+00
4,200000000000E+01;-9,268199E+00;1,271812E+00
4,300000000000E+01;-9,142678E+00;1,861075E+00
4,400000000000E+01;-7,845003E+00;3,036110E+00
4,500000000000E+01;-5,864571E+00;3,172749E+00
4,600000000000E+01;-5,130478E+00;2,488799E+00
4,700000000000E+01;-4,395088E+00;1,490514E+00
4,800000000000E+01;-4,140588E+00;7,333961E-01
4,900000000000E+01;-3,895918E+00;1,440607E-01
5,000000000000E+01;-3,561883E+00;-3,808770E-01
5,100000000000E+01;-3,340864E+00;-9,185537E-01
5,200000000000E+01;-3,020479E+00;-1,450207E+00
5,300000000000E+01;-2,612717E+00;-2,142725E+00
5,400000000000E+01;-2,025483E+00;-3,248386E+00
5,500000000000E+01;-1,314396E+00;-5,301267E+00
5,600000000000E+01;-3,339422E+00;-8,106541E+00
5,700000000000E+01;-8,136495E+00;-8,326880E+00
5,800000000000E+01;-1,010587E+01;-5,475395E+00
5,900000000000E+01;-1,003504E+01;-3,593979E+00
6,000000000000E+01;-9,430571E+00;-2,446738E+00
6,100000000000E+01;-8,925157E+00;-1,830073E+00
6,200000000000E+01;-8,351713E+00;-1,429797E+00
6,300000000000E+01;-7,895916E+00;-1,220664E+00
6,400000000000E+01;-7,516240E+00;-1,180791E+00
6,500000000000E+01;-7,152411E+00;-1,357178E+00
6,600000000000E+01;-6,966811E+00;-1,630181E+00
6,700000000000E+01;-6,964785E+00;-2,085097E+00
6,800000000000E+01;-7,173198E+00;-2,536560E+00
6,900000000000E+01;-7,638328E+00;-2,785211E+00
7,000000000000E+01;-8,163250E+00;-2,683586E+00
7,100000000000E+01;-8,637391E+00;-2,339681E+00
7,200000000000E+01;-9,023101E+00;-1,944000E+00
7,300000000000E+01;-9,153566E+00;-1,473533E+00
7,400000000000E+01;-9,062533E+00;-1,024058E+00
7,500000000000E+01;-8,874346E+00;-7,224368E-01
