CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;07/28/2022 10:03:24

Name;Signal 1
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 1 (Real);Signal 1 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;-8,805685E-02;0,000000E+00
1,000000000000E+00;2,930859E-02;1,206270E-01
2,000000000000E+00;6,961356E-01;1,592535E-01
3,000000000000E+00;3,311780E+00;9,418188E-02
4,000000000000E+00;5,844533E+00;-1,352777E-01
5,000000000000E+00;6,643699E+00;-4,570757E-01
6,000000000000E+00;6,927275E+00;-5,560246E-01
7,000000000000E+00;7,085128E+00;-6,145993E-01
8,000000000000E+00;7,392376E+00;-6,971704E-01
9,000000000000E+00;7,730009E+00;-7,134504E-01
1,000000000000E+01;8,123185E+00;-7,883162E-01
1,100000000000E+01;8,607110E+00;-8,788679E-01
1,200000000000E+01;9,222161E+00;-1,103009E+00
1,300000000000E+01;9,721080E+00;-1,277324E+00
1,400000000000E+01;1,020240E+01;-1,414861E+00
1,500000000000E+01;1,097356E+01;-1,596422E+00
1,600000000000E+01;1,229844E+01;-1,853523E+00
1,700000000000E+01;1,394609E+01;-2,272262E+00
1,800000000000E+01;1,595984E+01;-3,033746E+00
1,900000000000E+01;1,867858E+01;-4,917813E+00
2,000000000000E+01;2,034102E+01;-7,628512E+00
2,100000000000E+01;2,322534E+01;-9,820658E+00
2,200000000000E+01;2,654648E+01;-1,248433E+01
2,300000000000E+01;3,174086E+01;-1,565204E+01
2,400000000000E+01;4,260980E+01;-2,258280E+01
2,500000000000E+01;2,184053E+01;-6,358291E+01
2,600000000000E+01;-2,251505E+01;-7,365112E+01
2,700000000000E+01;-4,004128E+01;-5,281361E+01
2,800000000000E+01;-4,340740E+01;-3,038431E+01
2,900000000000E+01;-4,090521E+01;-1,885597E+01
3,000000000000E+01;-3,726982E+01;-1,141955E+01
3,100000000000E+01;-3,348357E+01;-6,096395E+00
3,200000000000E+01;-2,993563E+01;-2,602048E+00
3,300000000000E+01;-2,899837E+01;3,685151E-01
3,400000000000E+01;-2,882166E+01;4,404215E+00
3,500000000000E+01;-2,396756E+01;9,949782E+00
3,600000000000E+01;-1,199774E+01;9,990014E+00
3,700000000000E+01;-7,905260E+00;5,402143E+00
3,800000000000E+01;-8,092492E+00;1,667063E+00
3,900000000000E+01;-8,980433E+00;8,480324E-01
4,000000000000E+01;-9,299940E+00;8,591492E-01
4,100000000000E+01;-9,224503E+00;1,128469E+00
4,200000000000E+01;-9,015299E+00;1,459681E+00
4,300000000000E+01;-8,752230E+00;2,029840E+00
4,400000000000E+01;-7,922775E+00;2,924393E+00
4,500000000000E+01;-5,971270E+00;3,149402E+00
4,600000000000E+01;-4,515991E+00;2,084257E+00
