CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;07/28/2022 10:03:24

Name;Signal 2
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 2 (Real);Signal 2 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;1,779012E-01;0,000000E+00
1,000000000000E+00;8,643135E-02;-6,415471E-02
2,000000000000E+00;1,115496E+00;-4,889545E-02
3,000000000000E+00;4,382674E+00;3,661053E-02
4,000000000000E+00;5,321838E+00;2,864939E-01
5,000000000000E+00;5,546876E+00;2,689629E-01
6,000000000000E+00;5,321641E+00;5,302978E-02
7,000000000000E+00;4,906677E+00;4,895994E-02
8,000000000000E+00;4,457255E+00;5,831780E-02
9,000000000000E+00;3,976530E+00;7,806943E-02
1,000000000000E+01;3,327313E+00;1,087236E-01
1,100000000000E+01;2,698734E+00;1,919677E-01
1,200000000000E+01;1,892695E+00;2,499361E-01
1,300000000000E+01;1,171338E+00;3,498189E-01
1,400000000000E+01;5,360826E-01;4,365306E-01
1,500000000000E+01;-6,641924E-02;5,197452E-01
1,600000000000E+01;-1,073426E+00;6,027793E-01
1,700000000000E+01;-2,607994E+00;6,454732E-01
1,800000000000E+01;-3,902987E+00;6,019776E-01
1,900000000000E+01;-5,924122E+00;2,404820E-01
2,000000000000E+01;-8,662580E+00;-2,189286E-01
2,100000000000E+01;-1,267897E+01;-1,305427E-01
2,200000000000E+01;-1,772127E+01;1,243904E+00
2,300000000000E+01;-2,218990E+01;3,036170E+00
2,400000000000E+01;-2,728243E+01;-1,561531E-01
2,500000000000E+01;-4,173586E+01;-6,140942E+00
2,600000000000E+01;-7,966111E+01;2,617723E+00
2,700000000000E+01;-7,457765E+01;9,086400E+01
2,800000000000E+01;-4,827377E+01;1,007924E+02
2,900000000000E+01;-5,131202E+01;1,150769E+02
3,000000000000E+01;1,452812E+02;7,195976E+01
3,100000000000E+01;1,357987E+02;1,851722E+01
3,200000000000E+01;9,639505E+01;2,740939E+00
3,300000000000E+01;7,233395E+01;-2,833496E+00
3,400000000000E+01;5,612486E+01;-8,089516E-01
3,500000000000E+01;4,926725E+01;2,804142E+00
3,600000000000E+01;4,637921E+01;3,863235E+00
3,700000000000E+01;4,322810E+01;3,227676E+00
3,800000000000E+01;4,071921E+01;3,100904E+00
3,900000000000E+01;3,911528E+01;2,831769E+00
4,000000000000E+01;3,767507E+01;2,360196E+00
4,100000000000E+01;3,622551E+01;1,856485E+00
4,200000000000E+01;3,509014E+01;1,413934E+00
4,300000000000E+01;3,431517E+01;1,184982E+00
4,400000000000E+01;3,326526E+01;1,228290E-01
4,500000000000E+01;3,133987E+01;-1,461144E+00
4,600000000000E+01;2,822916E+01;-2,311110E+00
4,700000000000E+01;2,622677E+01;-1,675112E+00
4,800000000000E+01;2,497100E+01;-3,989258E-01
4,900000000000E+01;2,422981E+01;2,791406E-01
5,000000000000E+01;2,335222E+01;6,780790E-01
5,100000000000E+01;2,235871E+01;1,440023E+00
5,200000000000E+01;2,165130E+01;2,234240E+00
5,300000000000E+01;2,105947E+01;2,973069E+00
5,400000000000E+01;2,016028E+01;3,831455E+00
5,500000000000E+01;1,928489E+01;5,495542E+00
5,600000000000E+01;1,953302E+01;8,225470E+00
5,700000000000E+01;2,234108E+01;1,109360E+01
5,800000000000E+01;2,667021E+01;1,062460E+01
