CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;07/28/2022 10:03:24

Name;Signal 2
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 2 (Real);Signal 2 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;1,237001E-01;0,000000E+00
1,000000000000E+00;1,286671E-01;-3,304596E-02
2,000000000000E+00;1,098964E+00;1,600618E-01
3,000000000000E+00;4,342879E+00;1,228849E-01
4,000000000000E+00;5,487361E+00;3,161391E-01
5,000000000000E+00;5,543583E+00;3,658976E-02
6,000000000000E+00;5,245897E+00;-1,004216E-02
7,000000000000E+00;4,794540E+00;4,811943E-02
8,000000000000E+00;4,335257E+00;1,237106E-01
9,000000000000E+00;3,621503E+00;2,456004E-01
1,000000000000E+01;2,957468E+00;3,503789E-01
1,100000000000E+01;2,250617E+00;5,314812E-01
1,200000000000E+01;1,381055E+00;7,629925E-01
1,300000000000E+01;6,395785E-01;8,823647E-01
1,400000000000E+01;-1,315606E-01;1,000913E+00
1,500000000000E+01;-1,464310E+00;1,358466E+00
1,600000000000E+01;-2,840448E+00;1,661730E+00
1,700000000000E+01;-4,886631E+00;2,310065E+00
1,800000000000E+01;-7,082115E+00;3,199959E+00
1,900000000000E+01;-1,010061E+01;5,102199E+00
2,000000000000E+01;-1,233437E+01;7,318432E+00
2,100000000000E+01;-1,499836E+01;8,435434E+00
2,200000000000E+01;-2,023472E+01;1,070155E+01
2,300000000000E+01;-2,637222E+01;1,385843E+01
2,400000000000E+01;-3,624626E+01;1,761600E+01
2,500000000000E+01;-4,971840E+01;4,267477E+01
2,600000000000E+01;-2,239272E+01;9,690590E+01
2,700000000000E+01;2,514115E+01;9,848222E+01
2,800000000000E+01;5,942240E+01;7,164404E+01
2,900000000000E+01;6,350207E+01;4,598504E+01
3,000000000000E+01;5,984856E+01;2,735848E+01
3,100000000000E+01;5,236074E+01;1,553220E+01
3,200000000000E+01;3,948127E+01;9,823526E+00
3,300000000000E+01;2,660877E+01;1,171608E+01
3,400000000000E+01;2,034845E+01;1,928840E+01
3,500000000000E+01;2,250897E+01;3,005317E+01
3,600000000000E+01;4,373217E+01;3,295845E+01
3,700000000000E+01;5,135263E+01;2,391000E+01
3,800000000000E+01;5,056691E+01;1,327109E+01
3,900000000000E+01;4,623962E+01;6,668957E+00
4,000000000000E+01;4,297091E+01;3,934692E+00
4,100000000000E+01;3,995621E+01;2,360867E+00
4,200000000000E+01;3,744328E+01;1,449066E+00
4,300000000000E+01;3,564050E+01;6,263776E-01
4,400000000000E+01;3,343164E+01;-4,588801E-01
4,500000000000E+01;3,115146E+01;-1,888434E+00
4,600000000000E+01;2,919966E+01;-2,096418E+00
4,700000000000E+01;2,699576E+01;-1,390411E+00
4,800000000000E+01;2,578304E+01;-5,895324E-01
4,900000000000E+01;2,454761E+01;1,074649E-01
5,000000000000E+01;2,342805E+01;7,896614E-01
5,100000000000E+01;2,260900E+01;1,540725E+00
5,200000000000E+01;2,175680E+01;2,322001E+00
5,300000000000E+01;2,089129E+01;3,212413E+00
5,400000000000E+01;1,979972E+01;4,548200E+00
5,500000000000E+01;1,864008E+01;7,099648E+00
5,600000000000E+01;2,095646E+01;1,079669E+01
5,700000000000E+01;2,709595E+01;1,128698E+01
5,800000000000E+01;2,951721E+01;7,101067E+00
5,900000000000E+01;2,906148E+01;4,319652E+00
6,000000000000E+01;2,770228E+01;2,594773E+00
6,100000000000E+01;2,656513E+01;1,725315E+00
6,200000000000E+01;2,533781E+01;1,209623E+00
6,300000000000E+01;2,443996E+01;9,441204E-01
6,400000000000E+01;2,370048E+01;8,394525E-01
6,500000000000E+01;2,290916E+01;9,197448E-01
6,600000000000E+01;2,230948E+01;1,098626E+00
6,700000000000E+01;2,174032E+01;1,409888E+00
6,800000000000E+01;2,136641E+01;1,766608E+00
6,900000000000E+01;2,130127E+01;2,019567E+00
7,000000000000E+01;2,133615E+01;2,047224E+00
7,100000000000E+01;2,130884E+01;1,870914E+00
7,200000000000E+01;2,119568E+01;1,627070E+00
7,300000000000E+01;2,094238E+01;1,336289E+00
7,400000000000E+01;2,052253E+01;1,046306E+00
7,500000000000E+01;2,004553E+01;8,512369E-01
7,600000000000E+01;1,951632E+01;6,885242E-01
7,700000000000E+01;1,907046E+01;6,309037E-01
7,800000000000E+01;1,857936E+01;5,929257E-01
7,900000000000E+01;1,809015E+01;5,675095E-01
8,000000000000E+01;1,763970E+01;5,789974E-01
8,100000000000E+01;1,714446E+01;5,773882E-01
8,200000000000E+01;1,663779E+01;6,110083E-01
8,300000000000E+01;1,617986E+01;6,821244E-01
8,400000000000E+01;1,568823E+01;8,563375E-01
8,500000000000E+01;1,539552E+01;8,867100E-01
8,600000000000E+01;1,495066E+01;8,402362E-01
8,700000000000E+01;1,445956E+01;8,698371E-01
8,800000000000E+01;1,397635E+01;9,256370E-01
8,900000000000E+01;1,352192E+01;9,470935E-01
9,000000000000E+01;1,299603E+01;9,803742E-01
9,100000000000E+01;1,255583E+01;1,007154E+00
9,200000000000E+01;1,196830E+01;1,046139E+00
9,300000000000E+01;1,146385E+01;1,088754E+00
9,400000000000E+01;1,079689E+01;1,104364E+00
9,500000000000E+01;1,023701E+01;1,094078E+00
9,600000000000E+01;9,641730E+00;1,115892E+00
9,700000000000E+01;8,752478E+00;1,211106E+00
9,800000000000E+01;8,033051E+00;1,310275E+00
9,900000000000E+01;7,340479E+00;1,472002E+00
1,000000000000E+02;6,625533E+00;1,617108E+00
1,010000000000E+02;5,987221E+00;1,594784E+00
1,020000000000E+02;5,083867E+00;1,567254E+00
1,030000000000E+02;3,963395E+00;1,586349E+00
1,040000000000E+02;2,924136E+00;1,716675E+00
1,050000000000E+02;1,756320E+00;1,901045E+00
1,060000000000E+02;5,725845E-01;2,131251E+00
1,070000000000E+02;-6,761681E-01;2,327480E+00
1,080000000000E+02;-1,835023E+00;2,562647E+00
1,090000000000E+02;-3,120522E+00;2,793590E+00
1,100000000000E+02;-4,680326E+00;3,275473E+00
1,110000000000E+02;-6,368165E+00;5,252312E+00
1,120000000000E+02;-5,227829E+00;6,086595E+00
1,130000000000E+02;-6,364278E+00;4,624669E+00
1,140000000000E+02;-8,860666E+00;4,318896E+00
1,150000000000E+02;-1,152649E+01;4,644912E+00
1,160000000000E+02;-1,358998E+01;5,102872E+00
1,170000000000E+02;-1,644241E+01;5,724105E+00
1,180000000000E+02;-1,911167E+01;6,230017E+00
1,190000000000E+02;-2,212244E+01;6,900575E+00
1,200000000000E+02;-2,579586E+01;7,936007E+00
1,210000000000E+02;-2,961131E+01;9,143771E+00
1,220000000000E+02;-3,449961E+01;1,039511E+01
1,230000000000E+02;-3,973502E+01;1,221385E+01
1,240000000000E+02;-4,523430E+01;1,417865E+01
1,250000000000E+02;-5,306066E+01;1,763803E+01
1,260000000000E+02;-6,101213E+01;2,188308E+01
1,270000000000E+02;-7,066352E+01;2,892781E+01
1,280000000000E+02;-8,060056E+01;3,586676E+01
1,290000000000E+02;-9,379384E+01;4,804034E+01
1,300000000000E+02;-1,089419E+02;6,435278E+01
1,310000000000E+02;-1,282016E+02;8,978510E+01
1,320000000000E+02;-1,426404E+02;1,305907E+02
1,330000000000E+02;-1,416870E+02;1,923120E+02
1,340000000000E+02;-9,181117E+01;2,827192E+02
1,350000000000E+02;5,166067E+00;3,322306E+02
1,360000000000E+02;1,329704E+02;2,995002E+02
1,370000000000E+02;1,907478E+02;2,243954E+02
1,380000000000E+02;2,046694E+02;1,499579E+02
1,390000000000E+02;1,921841E+02;9,703336E+01
1,400000000000E+02;1,747159E+02;7,034848E+01
1,410000000000E+02;1,524101E+02;5,032088E+01
1,420000000000E+02;1,372072E+02;3,845457E+01
1,430000000000E+02;1,267275E+02;3,020899E+01
1,440000000000E+02;1,163747E+02;2,544007E+01
1,450000000000E+02;1,085559E+02;2,198624E+01
1,460000000000E+02;1,014633E+02;1,950404E+01
1,470000000000E+02;9,650423E+01;1,751700E+01
1,480000000000E+02;9,157384E+01;1,568115E+01
1,490000000000E+02;8,829580E+01;1,427867E+01
1,500000000000E+02;8,462919E+01;1,236888E+01
1,510000000000E+02;8,176004E+01;1,102059E+01
1,520000000000E+02;7,930067E+01;9,701208E+00
1,530000000000E+02;7,661043E+01;8,265626E+00
1,540000000000E+02;7,380459E+01;6,906992E+00
1,550000000000E+02;7,083956E+01;5,950806E+00
1,560000000000E+02;6,875860E+01;5,424793E+00
1,570000000000E+02;6,639495E+01;4,967231E+00
1,580000000000E+02;6,430800E+01;4,730125E+00
1,590000000000E+02;6,258848E+01;4,533102E+00
1,600000000000E+02;6,088862E+01;4,605484E+00
1,610000000000E+02;5,929069E+01;4,446288E+00
1,620000000000E+02;5,787106E+01;4,536608E+00
1,630000000000E+02;5,690683E+01;4,511272E+00
1,640000000000E+02;5,574511E+01;4,181343E+00
1,650000000000E+02;5,441373E+01;3,799856E+00
1,660000000000E+02;5,326340E+01;3,595358E+00
1,670000000000E+02;5,192006E+01;3,562547E+00
1,680000000000E+02;5,053059E+01;4,172602E+00
1,690000000000E+02;5,050705E+01;4,773585E+00
1,700000000000E+02;5,031835E+01;3,946816E+00
1,710000000000E+02;4,916594E+01;3,565588E+00
1,720000000000E+02;4,821821E+01;3,706969E+00
1,730000000000E+02;4,727688E+01;3,692359E+00
1,740000000000E+02;4,654922E+01;3,673737E+00
1,750000000000E+02;4,591160E+01;3,724146E+00
1,760000000000E+02;4,521968E+01;3,634601E+00
1,770000000000E+02;4,465876E+01;3,628068E+00
1,780000000000E+02;4,369953E+01;3,575209E+00
1,790000000000E+02;4,304812E+01;3,534222E+00
1,800000000000E+02;4,233747E+01;3,658978E+00
1,810000000000E+02;4,153582E+01;3,869067E+00
1,820000000000E+02;4,081865E+01;4,189756E+00
1,830000000000E+02;4,033524E+01;4,632339E+00
1,840000000000E+02;4,003664E+01;5,060190E+00
1,850000000000E+02;3,999667E+01;5,368422E+00
1,860000000000E+02;4,000216E+01;5,514113E+00
1,870000000000E+02;3,993830E+01;5,494838E+00
1,880000000000E+02;3,981557E+01;5,462194E+00
1,890000000000E+02;3,949894E+01;5,149125E+00
1,900000000000E+02;3,922970E+01;4,832791E+00
1,910000000000E+02;3,877947E+01;4,660990E+00
1,920000000000E+02;3,834620E+01;4,579574E+00
1,930000000000E+02;3,793457E+01;4,439425E+00
1,940000000000E+02;3,762442E+01;4,401410E+00
1,950000000000E+02;3,724817E+01;4,357627E+00
1,960000000000E+02;3,683501E+01;4,242265E+00
1,970000000000E+02;3,652789E+01;4,099786E+00
1,980000000000E+02;3,615821E+01;3,983646E+00
1,990000000000E+02;3,567095E+01;3,844420E+00
2,000000000000E+02;3,525201E+01;3,680139E+00
2,010000000000E+02;3,479469E+01;3,466755E+00
2,020000000000E+02;3,427487E+01;3,248849E+00
2,030000000000E+02;3,376093E+01;2,991054E+00
2,040000000000E+02;3,319263E+01;2,789156E+00
2,050000000000E+02;3,257919E+01;2,622371E+00
2,060000000000E+02;3,196340E+01;2,466272E+00
2,070000000000E+02;3,127905E+01;2,353955E+00
2,080000000000E+02;3,058289E+01;2,277607E+00
2,090000000000E+02;2,985829E+01;2,245996E+00
2,100000000000E+02;2,915422E+01;2,218534E+00
2,110000000000E+02;2,840727E+01;2,176125E+00
2,120000000000E+02;2,758438E+01;2,192154E+00
2,130000000000E+02;2,692460E+01;2,262202E+00
2,140000000000E+02;2,604800E+01;2,320476E+00
2,150000000000E+02;2,530341E+01;2,332449E+00
2,160000000000E+02;2,455150E+01;2,404061E+00
2,170000000000E+02;2,371178E+01;2,534522E+00
2,180000000000E+02;2,286788E+01;2,582515E+00
2,190000000000E+02;2,191382E+01;2,625094E+00
2,200000000000E+02;2,097634E+01;2,684326E+00
2,210000000000E+02;1,997879E+01;2,743169E+00
2,220000000000E+02;1,918299E+01;2,848454E+00
2,230000000000E+02;1,792400E+01;2,916421E+00
2,240000000000E+02;1,667938E+01;3,116812E+00
2,250000000000E+02;1,560952E+01;3,271553E+00
2,260000000000E+02;1,430240E+01;3,437410E+00
2,270000000000E+02;1,285866E+01;3,694208E+00
2,280000000000E+02;1,136815E+01;3,923371E+00
2,290000000000E+02;9,869167E+00;4,192854E+00
2,300000000000E+02;7,960234E+00;4,578112E+00
2,310000000000E+02;6,222234E+00;4,893241E+00
2,320000000000E+02;4,424479E+00;5,342957E+00
2,330000000000E+02;2,122056E+00;6,121887E+00
2,340000000000E+02;-1,376452E-01;6,646449E+00
2,350000000000E+02;-2,328326E+00;7,270089E+00
2,360000000000E+02;-5,122481E+00;8,107912E+00
2,370000000000E+02;-7,958372E+00;9,037161E+00
2,380000000000E+02;-1,136703E+01;1,032592E+01
2,390000000000E+02;-1,524134E+01;1,204614E+01
2,400000000000E+02;-2,001732E+01;1,421736E+01
2,410000000000E+02;-2,561068E+01;1,725822E+01
2,420000000000E+02;-3,159990E+01;2,099987E+01
2,430000000000E+02;-3,773140E+01;2,588056E+01
2,440000000000E+02;-4,580521E+01;3,366278E+01
2,450000000000E+02;-5,388490E+01;4,274608E+01
2,460000000000E+02;-6,288054E+01;5,809656E+01
2,470000000000E+02;-6,928990E+01;7,421239E+01
2,480000000000E+02;-7,217638E+01;1,000671E+02
2,490000000000E+02;-5,903954E+01;1,436662E+02
2,500000000000E+02;-3,120986E+01;1,781791E+02
2,510000000000E+02;1,652514E+01;1,846183E+02
2,520000000000E+02;4,848120E+01;1,824490E+02
2,530000000000E+02;7,611651E+01;1,812208E+02
2,540000000000E+02;1,166505E+02;1,603007E+02
2,550000000000E+02;1,378207E+02;1,227039E+02
2,560000000000E+02;1,372432E+02;8,856898E+01
2,570000000000E+02;1,311863E+02;6,652164E+01
2,580000000000E+02;1,217241E+02;5,187984E+01
2,590000000000E+02;1,148155E+02;4,285715E+01
2,600000000000E+02;1,073736E+02;3,576507E+01
2,610000000000E+02;1,012134E+02;3,079818E+01
2,620000000000E+02;9,506602E+01;2,653776E+01
2,630000000000E+02;8,993296E+01;2,311202E+01
2,640000000000E+02;8,564166E+01;2,133054E+01
2,650000000000E+02;8,143676E+01;1,981340E+01
2,660000000000E+02;7,842271E+01;1,894365E+01
2,670000000000E+02;7,531953E+01;1,903987E+01
2,680000000000E+02;7,371949E+01;1,888082E+01
2,690000000000E+02;7,281087E+01;1,822963E+01
2,700000000000E+02;7,160728E+01;1,755463E+01
2,710000000000E+02;7,039232E+01;1,680709E+01
2,720000000000E+02;6,950822E+01;1,590808E+01
2,730000000000E+02;6,871390E+01;1,494336E+01
2,740000000000E+02;6,756602E+01;1,383505E+01
2,750000000000E+02;6,684708E+01;1,248141E+01
2,760000000000E+02;6,565913E+01;1,103242E+01
2,770000000000E+02;6,421172E+01;9,625926E+00
2,780000000000E+02;6,261872E+01;8,453698E+00
2,790000000000E+02;6,071904E+01;7,504486E+00
2,800000000000E+02;5,862131E+01;6,939088E+00
2,810000000000E+02;5,635597E+01;7,303451E+00
2,820000000000E+02;5,576824E+01;8,163967E+00
2,830000000000E+02;5,646159E+01;7,524548E+00
2,840000000000E+02;5,569821E+01;5,590347E+00
2,850000000000E+02;5,408298E+01;4,463796E+00
2,860000000000E+02;5,209925E+01;3,722849E+00
2,870000000000E+02;5,018980E+01;3,243824E+00
2,880000000000E+02;4,858617E+01;2,988100E+00
2,890000000000E+02;4,698163E+01;2,852130E+00
