CSVFormatType;Spectrum2DComplex
SinglePrecision;True
DataLength;3201                
First;0,000000000000E+00
Delta;1,000000000000E+00
AxisUnit;Hz
AxisValueExists;1
Signals;1
Date;07/28/2022 10:03:24

Name;Signal 2
FunctionType;SpectrumFrfH1
FrfMode;H1
Unit;(m/s^2)/N
SpectralUnit;RMS
TimeWeighting;Hanning
NoiseBandWidth;1,5

';Signal 2 (Real);Signal 2 (Imag.)
';(m/s^2)/N;(m/s^2)/N
0,000000000000E+00;2,517462E-01;0,000000E+00
1,000000000000E+00;1,872666E-01;2,446781E-01
2,000000000000E+00;7,960795E-01;2,232038E-01
3,000000000000E+00;3,287064E+00;2,165374E-01
4,000000000000E+00;5,482750E+00;1,428205E-01
5,000000000000E+00;5,875268E+00;-2,651382E-02
6,000000000000E+00;5,563758E+00;-3,126191E-02
7,000000000000E+00;5,102066E+00;4,055754E-03
8,000000000000E+00;4,537487E+00;9,947138E-02
9,000000000000E+00;3,800449E+00;1,675252E-01
1,000000000000E+01;3,115043E+00;3,594704E-01
1,100000000000E+01;2,316741E+00;5,453721E-01
1,200000000000E+01;1,477424E+00;8,332815E-01
1,300000000000E+01;6,603397E-01;9,562865E-01
1,400000000000E+01;-2,633640E-01;1,098609E+00
1,500000000000E+01;-1,574113E+00;1,410669E+00
1,600000000000E+01;-3,509102E+00;1,859577E+00
1,700000000000E+01;-5,819567E+00;2,492488E+00
1,800000000000E+01;-8,525638E+00;3,557973E+00
1,900000000000E+01;-1,208846E+01;5,971972E+00
2,000000000000E+01;-1,456971E+01;9,340194E+00
2,100000000000E+01;-1,854956E+01;1,172542E+01
2,200000000000E+01;-2,359151E+01;1,488689E+01
2,300000000000E+01;-3,162866E+01;1,952609E+01
2,400000000000E+01;-4,592962E+01;2,975977E+01
2,500000000000E+01;-1,978933E+01;8,085236E+01
2,600000000000E+01;3,520814E+01;9,400455E+01
2,700000000000E+01;5,746485E+01;6,835669E+01
2,800000000000E+01;6,146146E+01;4,001855E+01
2,900000000000E+01;5,708059E+01;2,504902E+01
3,000000000000E+01;5,032158E+01;1,572207E+01
3,100000000000E+01;4,200298E+01;9,636218E+00
3,200000000000E+01;3,115118E+01;7,953565E+00
3,300000000000E+01;2,273892E+01;1,138766E+01
3,400000000000E+01;1,775490E+01;1,966460E+01
3,500000000000E+01;2,342534E+01;3,093713E+01
3,600000000000E+01;4,295057E+01;3,130462E+01
3,700000000000E+01;4,983397E+01;2,012998E+01
3,800000000000E+01;4,793895E+01;1,033184E+01
3,900000000000E+01;4,413649E+01;6,017125E+00
4,000000000000E+01;4,063931E+01;3,575171E+00
4,100000000000E+01;3,806457E+01;2,152669E+00
4,200000000000E+01;3,597635E+01;1,091723E+00
4,300000000000E+01;3,451217E+01;2,471289E-01
4,400000000000E+01;3,293296E+01;-7,735693E-01
4,500000000000E+01;3,038086E+01;-1,753954E+00
4,600000000000E+01;2,788383E+01;-1,393721E+00
4,700000000000E+01;2,610617E+01;-4,808429E-01
4,800000000000E+01;2,524755E+01;2,614816E-01
4,900000000000E+01;2,463587E+01;7,438840E-01
5,000000000000E+01;2,376688E+01;1,183323E+00
5,100000000000E+01;2,303173E+01;1,645643E+00
5,200000000000E+01;2,229781E+01;2,141085E+00
5,300000000000E+01;2,136936E+01;2,830563E+00
5,400000000000E+01;2,014463E+01;4,056416E+00
5,500000000000E+01;1,933852E+01;6,091252E+00
5,600000000000E+01;2,210588E+01;1,002277E+01
5,700000000000E+01;2,613099E+01;1,015272E+01
5,800000000000E+01;2,876711E+01;6,564560E+00
5,900000000000E+01;2,839023E+01;3,861704E+00
6,000000000000E+01;2,714817E+01;2,469989E+00
6,100000000000E+01;2,607172E+01;1,655109E+00
6,200000000000E+01;2,506016E+01;1,176601E+00
6,300000000000E+01;2,411566E+01;9,305078E-01
6,400000000000E+01;2,330575E+01;9,887037E-01
6,500000000000E+01;2,254299E+01;1,180283E+00
6,600000000000E+01;2,205694E+01;1,383994E+00
6,700000000000E+01;2,162960E+01;1,666704E+00
6,800000000000E+01;2,141425E+01;1,868745E+00
6,900000000000E+01;2,134228E+01;2,050372E+00
7,000000000000E+01;2,131875E+01;2,161503E+00
7,100000000000E+01;2,136305E+01;2,062712E+00
7,200000000000E+01;2,127626E+01;1,679375E+00
7,300000000000E+01;2,101235E+01;1,327148E+00
7,400000000000E+01;2,056188E+01;1,018291E+00
7,500000000000E+01;2,004921E+01;8,158833E-01
7,600000000000E+01;1,950454E+01;7,221237E-01
7,700000000000E+01;1,902767E+01;6,767915E-01
7,800000000000E+01;1,856483E+01;6,612279E-01
7,900000000000E+01;1,807677E+01;6,655498E-01
8,000000000000E+01;1,762415E+01;6,608914E-01
8,100000000000E+01;1,714194E+01;6,857905E-01
8,200000000000E+01;1,669339E+01;7,231946E-01
8,300000000000E+01;1,621233E+01;7,684781E-01
8,400000000000E+01;1,579086E+01;9,069720E-01
8,500000000000E+01;1,547756E+01;1,039722E+00
8,600000000000E+01;1,501015E+01;9,673017E-01
8,700000000000E+01;1,460202E+01;9,375107E-01
8,800000000000E+01;1,406738E+01;1,009263E+00
8,900000000000E+01;1,354578E+01;1,067382E+00
9,000000000000E+01;1,304167E+01;1,132989E+00
9,100000000000E+01;1,260334E+01;1,189044E+00
9,200000000000E+01;1,210076E+01;1,244964E+00
9,300000000000E+01;1,158306E+01;1,240450E+00
9,400000000000E+01;1,110559E+01;1,181554E+00
9,500000000000E+01;1,039292E+01;1,131258E+00
9,600000000000E+01;9,668468E+00;1,158820E+00
9,700000000000E+01;8,902393E+00;1,306091E+00
9,800000000000E+01;8,235537E+00;1,438719E+00
9,900000000000E+01;7,599283E+00;1,475869E+00
1,000000000000E+02;6,857821E+00;1,443863E+00
1,010000000000E+02;5,960558E+00;1,405827E+00
1,020000000000E+02;4,914488E+00;1,470491E+00
1,030000000000E+02;4,021451E+00;1,536141E+00
1,040000000000E+02;2,665652E+00;1,741934E+00
1,050000000000E+02;1,762126E+00;1,913954E+00
1,060000000000E+02;4,340981E-01;2,163554E+00
1,070000000000E+02;-7,923584E-01;2,395226E+00
1,080000000000E+02;-2,078132E+00;2,671917E+00
1,090000000000E+02;-3,376615E+00;3,014017E+00
1,100000000000E+02;-5,467661E+00;3,731796E+00
1,110000000000E+02;-6,053941E+00;5,656314E+00
1,120000000000E+02;-4,792372E+00;5,237877E+00
1,130000000000E+02;-6,739351E+00;4,270852E+00
1,140000000000E+02;-9,611062E+00;4,443262E+00
1,150000000000E+02;-1,195165E+01;4,891042E+00
1,160000000000E+02;-1,437859E+01;5,305754E+00
1,170000000000E+02;-1,715872E+01;6,122449E+00
1,180000000000E+02;-2,005314E+01;6,779328E+00
1,190000000000E+02;-2,308196E+01;7,510336E+00
1,200000000000E+02;-2,677075E+01;8,575701E+00
1,210000000000E+02;-3,053612E+01;9,702569E+00
1,220000000000E+02;-3,567401E+01;1,120331E+01
1,230000000000E+02;-4,140570E+01;1,315126E+01
1,240000000000E+02;-4,705901E+01;1,573493E+01
1,250000000000E+02;-5,464991E+01;1,919925E+01
1,260000000000E+02;-6,335358E+01;2,406075E+01
1,270000000000E+02;-7,385655E+01;3,019019E+01
1,280000000000E+02;-8,587158E+01;3,995271E+01
1,290000000000E+02;-9,920490E+01;5,237403E+01
1,300000000000E+02;-1,136688E+02;6,801302E+01
1,310000000000E+02;-1,362202E+02;1,035413E+02
1,320000000000E+02;-1,482091E+02;1,484858E+02
1,330000000000E+02;-1,344348E+02;2,234820E+02
1,340000000000E+02;-5,837901E+01;3,142552E+02
1,350000000000E+02;6,549474E+01;3,301756E+02
1,360000000000E+02;1,781469E+02;2,510939E+02
1,370000000000E+02;2,013417E+02;1,834037E+02
1,380000000000E+02;1,959560E+02;1,194823E+02
1,390000000000E+02;1,792743E+02;7,966422E+01
1,400000000000E+02;1,612012E+02;5,941729E+01
1,410000000000E+02;1,447335E+02;4,332530E+01
1,420000000000E+02;1,314915E+02;3,477744E+01
1,430000000000E+02;1,203821E+02;2,792167E+01
1,440000000000E+02;1,128406E+02;2,453296E+01
1,450000000000E+02;1,040798E+02;2,084238E+01
1,460000000000E+02;9,916138E+01;1,900112E+01
1,470000000000E+02;9,520538E+01;1,743587E+01
1,480000000000E+02;9,033662E+01;1,448333E+01
1,490000000000E+02;8,775385E+01;1,284751E+01
1,500000000000E+02;8,455404E+01;1,159568E+01
1,510000000000E+02;8,071168E+01;9,715691E+00
